excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
1.28,3.773314793079701e-11
1.29,4.702778681329953e-11
1.3,5.840915096238586e-11
1.31,7.229397356642333e-11
1.32,8.916987310123215e-11
1.33,1.0960466808666344e-10
1.34,1.342563400992422e-10
1.35,1.6388356647042184e-10
1.36,1.9935671067334807e-10
1.37,2.4166912076474586e-10
1.3800000000000001,2.9194854474479285e-10
1.3900000000000001,3.5146842689319333e-10
1.4000000000000001,4.216588018510992e-10
1.41,5.041164545337979e-10
1.42,6.006139652491528e-10
1.43,7.131072123177607e-10
1.44,8.437408609739121e-10
1.45,9.948513295524271e-10
1.46,1.1689666943250707e-09
1.47,1.3688029753807773e-09
1.48,1.5972562402590495e-09
1.49,1.8573899722369667e-09
1.5,2.152417178697036e-09
1.51,2.4856767640692642e-09
1.52,2.860603763259072e-09
1.53,3.2806931265253785e-09
1.54,3.749456866071778e-09
1.55,4.270374517967129e-09
1.56,4.846837039308395e-09
1.57,5.482084447650584e-09
1.58,6.179137714449351e-09
1.59,6.9407256422781666e-09
1.6,7.769207681494798e-09
1.61,8.666493869425578e-09
1.62,9.633963296701972e-09
1.6300000000000001,1.0672382713101008e-08
1.6400000000000001,1.1781827070607802e-08
1.6500000000000001,1.2961603955736407e-08
1.6600000000000001,1.4210183977845215e-08
1.67,1.5525139247180704e-08
1.68,1.6903092088456665e-08
1.69,1.8339676086940613e-08
1.7,1.9829511449899322e-08
1.71,2.1366196484403366e-08
1.72,2.294231674267937e-08
1.73,2.45494730706194e-08
1.74,2.617832941844839e-08
1.75,2.7818680842222094e-08
1.76,2.945954165057412e-08
1.77,3.108925314503456e-08
1.78,3.2695609878366617e-08
1.79,3.4266002829336e-08
1.8,3.5787577380818585e-08
1.81,3.724740350830753e-08
1.82,3.8632655154671087e-08
1.83,3.9930795400560054e-08
1.84,4.1129763752782875e-08
1.85,4.2218161677721255e-08
1.86,4.318543241319564e-08
1.87,4.402203110665006e-08
1.8800000000000001,4.4719581453084245e-08
1.8900000000000001,4.527101524199881e-08
1.9000000000000001,4.5670691564044034e-08
1.9100000000000001,4.591449286660048e-08
1.92,4.5999895571150245e-08
1.93,4.5926013558861094e-08
1.94,4.569361347652866e-08
1.95,4.530510149317143e-08
1.96,4.4764481827191234e-08
1.97,4.407728804370507e-08
1.98,4.3250488770406406e-08
1.99,4.229237007827713e-08
2.0,4.1212397302708694e-08
2.0100000000000002,4.002105952573173e-08
2.02,3.872970028883809e-08
2.0300000000000002,3.735033834956274e-08
2.04,3.589548242861081e-08
2.05,3.437794391675945e-08
2.06,3.281065142475183e-08
2.07,3.120647087121596e-08
2.08,2.9578034522818923e-08
2.09,2.7937582039694264e-08
2.1,2.6296816152127536e-08
2.11,2.466677511760204e-08
2.12,2.3057723597508027e-08
2.13,2.1479063067273795e-08
2.14,1.9939262349099823e-08
2.15,1.8445808348605138e-08
2.16,1.7005176599700113e-08
2.17,1.5622820788138246e-08
2.18,1.4303180043422001e-08
2.19,1.304970246855483e-08
2.2,1.1864883122451061e-08
2.21,1.0750314483028303e-08
2.22,9.706747300036271e-09
2.23,8.734159693244403e-09
2.24,7.831832359454839e-09
2.25,6.998427815061981e-09
2.2600000000000002,6.2320717123869135e-09
2.27,5.530434419751895e-09
2.2800000000000002,4.890811238669102e-09
2.29,4.310199837908737e-09
2.3000000000000003,3.785373705049784e-09
2.31,3.312950643345556e-09
2.32,2.8894555679816458e-09
2.33,2.511377074587726e-09
2.34,2.1752174587052635e-09
2.35,1.8775360534218862e-09
2.36,1.6149859202723733e-09
2.37,1.3843440735705472e-09
2.38,1.1825355393975384e-09
2.39,1.0066516472724184e-09
2.4,8.539630256339551e-10
2.41,7.219278229041597e-10
2.42,6.08195705870211e-10
2.43,5.10608198593659e-10
2.44,4.2719592048926493e-10
2.45,3.561732642058682e-10
2.46,2.959310251218039e-10
2.47,2.4502745721078134e-10
2.48,2.0217818718606328e-10
2.49,1.662453724511781e-10
2.5,1.3622644052158746e-10
2.5100000000000002,1.1124270005548708e-10
2.52,9.05280680553525e-11
2.5300000000000002,7.341811561261961e-11
2.54,5.933959709607325e-11
2.5500000000000003,4.780059624848257e-11
2.56,3.83813987027286e-11
2.57,3.072618572580896e-11
2.58,2.453564090354909e-11
2.59,1.956057330631861e-11
