atoms:index,atoms:element,atoms:label,atoms:group,atoms:coords:x / Å,atoms:coords:y / Å,atoms:coords:z / Å,atoms:mass / g mol^-1
1,6,C1,C1,0.29198999999999947,4.17287,-9.48119,12.011
2,6,C2,C2,1.4167699999999994,3.34677,-9.54206,12.011
3,6,C3,C1,1.8519099999999995,2.67498,-8.39726,12.011
4,6,C4,C3,1.1589999999999996,2.82174,-7.19158,12.011
5,6,C5,C4,0.011339999999999562,3.6387,-7.12587,12.011
6,6,C6,C3,-0.4032400000000005,4.32256,-8.27722,12.011
7,1,H7,H3,-1.2716700000000005,4.9685,-8.2412,1.008
8,1,H8,H1,-0.04031000000000063,4.69947,-10.36649,1.008
9,1,H9,H2,1.9552399999999994,3.23312,-10.47404,1.008
10,1,H10,H1,2.7300099999999996,2.04378,-8.44255,1.008
11,1,H11,H3,1.5275099999999995,2.30455,-6.31631,1.008
12,7,N12,N5,-0.7173400000000003,3.8422,-5.91569,14.007
13,7,N13,N5,-1.6800000000000004,3.1557,-5.49189,14.007
14,6,C14,C4,-2.2626300000000006,2.01675,-6.12454,12.011
15,6,C15,C3,-3.3742500000000004,1.41358,-5.51985,12.011
16,6,C16,C1,-3.9932500000000006,0.30898,-6.11313,12.011
17,6,C17,C2,-3.5135800000000006,-0.1956,-7.32416,12.011
18,6,C18,C1,-2.4187500000000006,0.40826,-7.94698,12.011
19,6,C19,C3,-1.7967700000000004,1.51272,-7.35653,12.011
20,1,H20,H3,-0.9624100000000004,1.97214,-7.86854,1.008
21,1,H21,H3,-3.7571600000000003,1.79823,-4.58276,1.008
22,1,H22,H1,-4.84649,-0.15425,-5.63473,1.008
23,1,H23,H2,-3.9946500000000005,-1.04947,-7.78342,1.008
24,1,H24,H1,-2.0545700000000005,0.02357,-8.89086,1.008
