atoms:index,atoms:element,atoms:label,atoms:group,atoms:coords:x / Å,atoms:coords:y / Å,atoms:coords:z / Å,atoms:mass / g mol^-1
1,6,C1,C1,-10.17089,2.3468,-0.10637,12.011
2,6,C2,C2,-10.19549,0.9524,-0.18596,12.011
3,6,C3,C1,-9.00514,0.22716,-0.09469,12.011
4,6,C4,C3,-7.78745,0.89488,0.06857,12.011
5,6,C5,C4,-7.75151,2.30332,0.13075,12.011
6,6,C6,C3,-8.95521,3.01806,0.05741,12.011
7,1,H7,H3,-8.94887,4.09907,0.12145,1.008
8,1,H8,H1,-11.09422,2.90804,-0.16925,1.008
9,1,H9,H2,-11.13722,0.43375,-0.31084,1.008
10,1,H10,H1,-9.02617,-0.85382,-0.14533,1.008
11,1,H11,H3,-6.88283,0.3086,0.15424,1.008
12,7,N12,N5,-6.53927,3.03211,0.32117,14.007
13,7,N13,N5,-5.39359,2.70438,-0.07585,14.007
14,6,C14,C4,-5.08064,1.76187,-1.10086,12.011
15,6,C15,C3,-3.86882,1.06222,-1.01655,12.011
16,6,C16,C1,-3.50801,0.14473,-2.00818,12.011
17,6,C17,C2,-4.35072,-0.07273,-3.10081,12.011
18,6,C18,C1,-5.55193,0.63231,-3.20677,12.011
19,6,C19,C3,-5.91644,1.55021,-2.21689,12.011
20,1,H20,H3,-6.84309,2.09555,-2.33233,1.008
21,1,H21,H3,-3.20583,1.22516,-0.17595,1.008
22,1,H22,H1,-2.57362,-0.39595,-1.93036,1.008
23,1,H23,H2,-4.06956,-0.78174,-3.86873,1.008
24,1,H24,H1,-6.19913,0.47141,-4.05928,1.008
