atoms:index,atoms:element,atoms:label,atoms:group,atoms:coords:x / Å,atoms:coords:y / Å,atoms:coords:z / Å,atoms:mass / g mol^-1
1,6,C1,C1,-9.35398,5.14839,-0.6461,12.011
2,6,C2,C2,-10.08367,4.10476,-1.22028,12.011
3,6,C3,C1,-9.54638,2.81593,-1.25812,12.011
4,6,C4,C3,-8.27568,2.56966,-0.72902,12.011
5,6,C5,C4,-7.52431,3.62126,-0.1647,12.011
6,6,C6,C3,-8.08315,4.90595,-0.1155,12.011
7,1,H7,H3,-7.52828,5.72208,0.33032,1.008
8,1,H8,H1,-9.77384,6.14533,-0.60987,1.008
9,1,H9,H2,-11.068,4.29316,-1.62901,1.008
10,1,H10,H1,-10.11693,2.00557,-1.69322,1.008
11,1,H11,H3,-7.89076,1.55944,-0.75521,1.008
12,7,N12,N5,-6.2339,3.41931,0.41063,14.007
13,7,N13,N5,-5.34344,2.57191,0.6687,14.007
14,6,C14,C4,-4.97613,1.19602,0.57402,12.011
15,6,C15,C3,-3.71081,0.80979,1.03764,12.011
16,6,C16,C1,-3.29722,-0.52283,0.94603,12.011
17,6,C17,C2,-4.14103,-1.48028,0.37808,12.011
18,6,C18,C1,-5.39661,-1.10493,-0.10548,12.011
19,6,C19,C3,-5.81394,0.22659,-0.01517,12.011
20,1,H20,H3,-6.78332,0.49353,-0.41323,1.008
21,1,H21,H3,-3.04668,1.54391,1.47663,1.008
22,1,H22,H1,-2.32123,-0.81252,1.31348,1.008
23,1,H23,H2,-3.81914,-2.51112,0.30599,1.008
24,1,H24,H1,-6.04542,-1.84527,-0.55545,1.008
