orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
1,HOMO-47,-47,-390.55388016616456,A,1
2,HOMO-46,-46,-390.55306382461305,A,2
3,HOMO-45,-45,-278.36414237767474,A,3
4,HOMO-44,-44,-278.361040279779,A,4
5,HOMO-43,-43,-277.59887659591357,A,5
6,HOMO-42,-42,-277.59849563652284,A,6
7,HOMO-41,-41,-277.54777361478966,A,7
8,HOMO-40,-40,-277.5467395821577,A,8
9,HOMO-39,-39,-277.53321552378793,A,9
10,HOMO-38,-38,-277.5329434099374,A,10
11,HOMO-37,-37,-277.52807257201346,A,11
12,HOMO-36,-36,-277.52774603539285,A,12
13,HOMO-35,-35,-277.52322894547456,A,13
14,HOMO-34,-34,-277.5229840430091,A,14
15,HOMO-33,-33,-26.7162466876302,A,15
16,HOMO-32,-32,-23.56508666468505,A,16
17,HOMO-31,-31,-23.2430399226183,A,17
18,HOMO-30,-30,-21.45691181932135,A,18
19,HOMO-29,-29,-20.432539229114102,A,19
20,HOMO-28,-28,-20.422443805260553,A,20
21,HOMO-27,-27,-20.3362653488072,A,21
22,HOMO-26,-26,-18.347113101652198,A,22
23,HOMO-25,-25,-17.11479110689285,A,23
24,HOMO-24,-24,-16.720307657823,A,24
25,HOMO-23,-23,-16.5119772938802,A,25
26,HOMO-22,-22,-15.47911475153735,A,26
27,HOMO-21,-21,-15.0706446505518,A,27
28,HOMO-20,-20,-13.62030503877185,A,28
29,HOMO-19,-19,-13.616631501790101,A,29
30,HOMO-18,-18,-12.8638557457669,A,30
31,HOMO-17,-17,-12.628341208159151,A,31
32,HOMO-16,-16,-12.41424203058575,A,32
33,HOMO-15,-15,-12.150536498066199,A,33
34,HOMO-14,-14,-11.85559229550925,A,34
35,HOMO-13,-13,-11.55044382355855,A,35
36,HOMO-12,-12,-11.347909484631401,A,36
37,HOMO-11,-11,-10.44016489074845,A,37
38,HOMO-10,-10,-10.31521021059885,A,38
39,HOMO-9,-9,-10.17637772407375,A,39
40,HOMO-8,-8,-10.05229380824575,A,40
41,HOMO-7,-7,-9.6320683889186,A,41
42,HOMO-6,-6,-9.5534819088942,A,42
43,HOMO-5,-5,-8.80595795018565,A,43
44,HOMO-4,-4,-7.73508110292795,A,44
45,HOMO-3,-3,-7.24761635114225,A,45
46,HOMO-2,-2,-7.19749297988015,A,46
47,HOMO-1,-1,-6.5735631320687,A,47
48,HOMO,0,-4.24320732777175,A,48
49,LUMO,1,-2.2876067183834,A,49
50,LUMO+1,2,-0.5726908097623,A,50
51,LUMO+2,3,-0.40476935261874997,A,51
52,LUMO+3,4,-0.20307856662815,A,52
53,LUMO+4,5,1.3221467768094,A,53
54,LUMO+5,6,1.40250199686205,A,54
55,LUMO+6,7,1.8409046214026001,A,55
56,LUMO+7,8,2.47778708849785,A,56
57,LUMO+8,9,2.8145279784915997,A,57
58,LUMO+9,10,3.01385137398285,A,58
59,LUMO+10,11,3.50115285745825,A,59
60,LUMO+11,12,3.8608057336641,A,60
61,LUMO+12,13,3.98595089350905,A,61
62,LUMO+13,14,4.0802927654774,A,62
63,LUMO+14,15,4.1116947038250995,A,63
64,LUMO+15,16,4.5706147126933505,A,64
65,LUMO+16,17,5.117590763583401,A,65
66,LUMO+17,18,6.12933727112745,A,66
67,LUMO+18,19,6.31355834791595,A,67
68,LUMO+19,20,6.8009958883166,A,68
69,LUMO+20,21,7.537145488074249,A,69
70,LUMO+21,22,7.802157167076199,A,70
71,LUMO+22,23,7.87581838640655,A,71
72,LUMO+23,24,7.9117918374426495,A,72
73,LUMO+24,25,8.294329488475551,A,73
74,LUMO+25,26,8.4172433147464,A,74
75,LUMO+26,27,9.086969923597001,A,75
76,LUMO+27,28,9.21342122992435,A,76
77,LUMO+28,29,9.593101685527001,A,77
78,LUMO+29,30,10.418096457472899,A,78
79,LUMO+30,31,10.66640034605415,A,79
80,LUMO+31,32,10.79891979124765,A,80
81,LUMO+32,33,11.1235788262792,A,81
82,LUMO+33,34,11.219907129356201,A,82
83,LUMO+34,35,11.88051792421505,A,83
84,LUMO+35,36,12.096004882426001,A,84
85,LUMO+36,37,12.39258176808595,A,85
86,LUMO+37,38,12.51198532568535,A,86
87,LUMO+38,39,12.669512033739801,A,87
88,LUMO+39,40,12.9189860118782,A,88
89,LUMO+40,41,13.106091495482001,A,89
90,LUMO+41,42,13.17017430727475,A,90
91,LUMO+42,43,13.2371959486529,A,91
92,LUMO+43,44,13.56533804097085,A,92
93,LUMO+44,45,13.925317453797302,A,93
