atoms:index,atoms:element,atoms:label,atoms:group,atoms:coords:x / Å,atoms:coords:y / Å,atoms:coords:z / Å,atoms:mass / g mol^-1
1,6,C1,C1,-9.11987,-0.4351499999999998,3.14812,12.011
2,6,C2,C2,-9.52515,0.8760100000000002,3.41192,12.011
3,6,C3,C1,-8.57035,1.8665200000000002,3.65716,12.011
4,6,C4,C3,-7.20883,1.5474600000000003,3.639,12.011
5,6,C5,C4,-6.79182,0.2357300000000002,3.3755,12.011
6,6,C6,C3,-7.75923,-0.7584799999999998,3.12901,12.011
7,1,H7,H3,-7.46603,-1.7798999999999998,2.9227,1.008
8,1,H8,H1,-9.86034,-1.2014699999999998,2.95834,1.008
9,1,H9,H2,-10.57853,1.1243400000000001,3.42628,1.008
10,1,H10,H1,-8.88504,2.8817900000000005,3.86138,1.008
11,1,H11,H3,-6.47679,2.3222700000000005,3.8303,1.008
12,7,N12,N5,-5.40186,-0.05174999999999979,3.3651,14.007
13,7,N13,N5,-4.96694,-1.1984899999999998,3.13676,14.007
14,6,C14,C4,-3.57698,-1.4860099999999998,3.12653,12.011
15,6,C15,C3,-3.15993,-2.79748,2.8618,12.011
16,6,C16,C1,-1.79842,-3.11657,2.84378,12.011
17,6,C17,C2,-0.84367,-2.12636,3.09043,12.011
18,6,C18,C1,-1.24899,-0.8154699999999998,3.35548,12.011
19,6,C19,C3,-2.60963,-0.49209999999999976,3.37442,12.011
20,1,H20,H3,-2.90287,0.5291100000000002,3.58174,1.008
21,1,H21,H3,-3.89193,-3.57205,2.66941,1.008
22,1,H22,H1,-1.48369,-4.13163,2.6385700000000005,1.008
23,1,H23,H2,0.20971,-2.37471,3.07618,1.008
24,1,H24,H1,-0.50856,-0.049379999999999785,3.54637,1.008
