orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
1,HOMO-47,-47,-390.76509493692265,A,1
2,HOMO-46,-46,-390.7572852694133,A,2
3,HOMO-45,-45,-278.09412380382355,A,3
4,HOMO-44,-44,-278.09227342964016,A,4
5,HOMO-43,-43,-277.45258818988475,A,5
6,HOMO-42,-42,-277.45253376711463,A,6
7,HOMO-41,-41,-277.43917297705514,A,7
8,HOMO-40,-40,-277.43914576567005,A,8
9,HOMO-39,-39,-277.4085873802589,A,9
10,HOMO-38,-38,-277.4085873802589,A,10
11,HOMO-37,-37,-277.3830086783119,A,11
12,HOMO-36,-36,-277.3830086783119,A,12
13,HOMO-35,-35,-277.3271709161893,A,13
14,HOMO-34,-34,-277.327007647879,A,14
15,HOMO-33,-33,-27.556398201048953,A,15
16,HOMO-32,-32,-23.4924050552165,A,16
17,HOMO-31,-31,-23.059036536910202,A,17
18,HOMO-30,-30,-21.461592177549953,A,18
19,HOMO-29,-29,-20.271175715767598,A,19
20,HOMO-28,-28,-20.22298435284405,A,20
21,HOMO-27,-27,-20.0355795440047,A,21
22,HOMO-26,-26,-18.30953417889815,A,22
23,HOMO-25,-25,-16.74868913243015,A,23
24,HOMO-24,-24,-16.546699021204,A,24
25,HOMO-23,-23,-16.256952193191598,A,25
26,HOMO-22,-22,-15.35911254346685,A,26
27,HOMO-21,-21,-14.561791750116798,A,27
28,HOMO-20,-20,-13.65290427806175,A,28
29,HOMO-19,-19,-13.17490908827345,A,29
30,HOMO-18,-18,-12.82785508334575,A,30
31,HOMO-17,-17,-12.385914978748701,A,31
32,HOMO-16,-16,-12.0915966380479,A,32
33,HOMO-15,-15,-11.903946926743101,A,33
34,HOMO-14,-14,-11.629220783278301,A,34
35,HOMO-13,-13,-11.62554724629655,A,35
36,HOMO-12,-12,-11.5693013133982,A,36
37,HOMO-11,-11,-10.584330808743351,A,37
38,HOMO-10,-10,-10.315781649684899,A,38
39,HOMO-9,-9,-9.97234675896885,A,39
40,HOMO-8,-8,-9.8479090951352,A,40
41,HOMO-7,-7,-9.59840790561175,A,41
42,HOMO-6,-6,-9.5830334730585,A,42
43,HOMO-5,-5,-9.39073061491015,A,43
44,HOMO-4,-4,-7.6136366914498,A,44
45,HOMO-3,-3,-7.0749056902299,A,45
46,HOMO-2,-2,-7.0740893486784,A,46
47,HOMO-1,-1,-6.3874916810968,A,47
48,HOMO,0,-5.5734358859410005,A,48
49,LUMO,1,-2.2711710418132,A,49
50,LUMO+1,2,-0.35089081021975,A,50
51,LUMO+2,3,-0.33518984104590005,A,51
52,LUMO+3,4,0.012762139588450001,A,52
53,LUMO+4,5,1.2123216267476,A,53
54,LUMO+5,6,1.81246872402535,A,54
55,LUMO+6,7,1.8152442853004502,A,55
56,LUMO+7,8,2.6102793223063,A,56
57,LUMO+8,9,2.89281513328045,A,57
58,LUMO+9,10,3.0980161879425,A,58
59,LUMO+10,11,3.3939127889762,A,59
60,LUMO+11,12,3.7250753450347,A,60
61,LUMO+12,13,4.06219719441915,A,61
62,LUMO+13,14,4.1084293376191,A,62
63,LUMO+14,15,4.4339863483573,A,63
64,LUMO+15,16,4.54089988021875,A,64
65,LUMO+16,17,4.54291352271245,A,65
66,LUMO+17,18,5.9706132621308,A,66
67,LUMO+18,19,6.5045006368118,A,67
68,LUMO+19,20,7.3583938996808,A,68
69,LUMO+20,21,7.5144239815575,A,69
70,LUMO+21,22,7.8276814462530995,A,70
71,LUMO+22,23,7.86645766994935,A,71
72,LUMO+23,24,7.92692136753045,A,72
73,LUMO+24,25,8.00877321376085,A,73
74,LUMO+25,26,8.493979420587399,A,74
75,LUMO+26,27,8.7014390202086,A,75
76,LUMO+27,28,9.47982068956385,A,76
77,LUMO+28,29,10.018851016019301,A,77
78,LUMO+29,30,10.832280949318951,A,78
79,LUMO+30,31,11.110789475305701,A,79
80,LUMO+31,32,11.15190587811625,A,80
81,LUMO+32,33,11.24779879903245,A,81
82,LUMO+33,34,11.4790139378023,A,82
83,LUMO+34,35,11.497218354400749,A,83
84,LUMO+35,36,12.2551370621984,A,84
85,LUMO+36,37,12.2949201071415,A,85
86,LUMO+37,38,12.68167552285715,A,86
87,LUMO+38,39,12.7309553411827,A,87
88,LUMO+39,40,13.004810720325901,A,88
89,LUMO+40,41,13.3189933721132,A,89
90,LUMO+41,42,13.381198598337502,A,90
91,LUMO+42,43,13.4510230123758,A,91
92,LUMO+43,44,13.666020165655851,A,92
93,LUMO+44,45,14.18771683983445,A,93
94,LUMO+45,46,14.52715165694815,A,94
95,LUMO+46,47,14.534144982906001,A,95
96,LUMO+47,48,14.59371070478045,A,96
97,LUMO+48,49,14.809714679307351,A,97
98,LUMO+49,50,15.13674110483825,A,98
99,LUMO+50,51,15.694846612213752,A,99
100,LUMO+51,52,16.1041874775209,A,100
101,LUMO+52,53,16.2755647805658,A,101
102,LUMO+53,54,16.473010590488602,A,102
103,LUMO+54,55,16.475432403758052,A,103
104,LUMO+55,56,16.6857491988095,A,104
105,LUMO+56,57,17.441790321038702,A,105
106,LUMO+57,58,17.446661158962648,A,106
107,LUMO+58,59,17.587534499366498,A,107
