orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
1,HOMO-47,-47,-391.1996879675562,A,1
2,HOMO-46,-46,-391.11261153539624,A,2
3,HOMO-45,-45,-278.3090665343335,A,3
4,HOMO-44,-44,-278.2883314589254,A,4
5,HOMO-43,-43,-277.6798848892074,A,5
6,HOMO-42,-42,-277.66309546463157,A,6
7,HOMO-41,-41,-277.60290388090095,A,7
8,HOMO-40,-40,-277.5673930234107,A,8
9,HOMO-39,-39,-277.48415339654275,A,9
10,HOMO-38,-38,-277.4779764121364,A,10
11,HOMO-37,-37,-277.4664932076453,A,11
12,HOMO-36,-36,-277.4406423918478,A,12
13,HOMO-35,-35,-277.3923693947691,A,13
14,HOMO-34,-34,-277.303605856736,A,14
15,HOMO-33,-33,-27.7068499489904,A,15
16,HOMO-32,-32,-23.555617102687652,A,16
17,HOMO-31,-31,-23.26657777068655,A,17
18,HOMO-30,-30,-21.463388128963253,A,18
19,HOMO-29,-29,-20.4802679984918,A,19
20,HOMO-28,-28,-20.40600812869035,A,20
21,HOMO-27,-27,-20.28508073352815,A,21
22,HOMO-26,-26,-18.36754885182475,A,22
23,HOMO-25,-25,-17.0104354452261,A,23
24,HOMO-24,-24,-16.721504958765202,A,24
25,HOMO-23,-23,-16.602074189780748,A,25
26,HOMO-22,-22,-15.5918515197995,A,26
27,HOMO-21,-21,-14.946615157493902,A,27
28,HOMO-20,-20,-13.741150799778902,A,28
29,HOMO-19,-19,-13.44272353993555,A,29
30,HOMO-18,-18,-12.894713456413601,A,30
31,HOMO-17,-17,-12.8244536602145,A,31
32,HOMO-16,-16,-12.43748055341845,A,32
33,HOMO-15,-15,-12.1181549498567,A,33
34,HOMO-14,-14,-11.896708698319799,A,34
35,HOMO-13,-13,-11.67686791850085,A,35
36,HOMO-12,-12,-11.16485849740005,A,36
37,HOMO-11,-11,-10.6754073145057,A,37
38,HOMO-10,-10,-10.23852852752795,A,38
39,HOMO-9,-9,-10.1724864960116,A,39
40,HOMO-8,-8,-10.04266097793805,A,40
41,HOMO-7,-7,-9.9881565736829,A,41
42,HOMO-6,-6,-9.495331179042351,A,42
43,HOMO-5,-5,-9.26267383686485,A,43
44,HOMO-4,-4,-7.3842447154783,A,44
45,HOMO-3,-3,-7.218010364207851,A,45
46,HOMO-2,-2,-7.0474221913294,A,46
47,HOMO-1,-1,-7.00902692702385,A,47
48,HOMO,0,-5.6146883456768,A,48
49,LUMO,1,-2.14798510169185,A,49
50,LUMO+1,2,-0.74714299931785,A,50
51,LUMO+2,3,-0.30781518768559996,A,51
52,LUMO+3,4,-0.24743312425965003,A,52
53,LUMO+4,5,0.52928865060755,A,53
54,LUMO+5,6,1.6564114307636002,A,54
55,LUMO+6,7,1.7506988799618501,A,55
56,LUMO+7,8,2.6875596558483004,A,56
57,LUMO+8,9,2.71692074031725,A,57
58,LUMO+9,10,3.07099528258785,A,58
59,LUMO+10,11,3.1687657890725,A,59
60,LUMO+11,12,3.8139477286080004,A,60
61,LUMO+12,13,3.9093780559783498,A,61
62,LUMO+13,14,3.9670934036694,A,62
63,LUMO+14,15,4.069190520377,A,63
64,LUMO+15,16,4.07721787896675,A,64
65,LUMO+16,17,4.6280579465339,A,65
66,LUMO+17,18,5.73107143953565,A,66
67,LUMO+18,19,6.28204756402805,A,67
68,LUMO+19,20,6.8991201428069,A,68
69,LUMO+20,21,7.564873889440199,A,69
