excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
1.54,1.0658472369555835e-06
1.55,1.324991681605224e-06
1.56,1.6414444498751805e-06
1.57,2.0264415327716933e-06
1.58,2.4930834518695557e-06
1.59,3.0565704078677997e-06
1.6,3.7344516616061942e-06
1.61,4.54688667908782e-06
1.62,5.5169146947374165e-06
1.6300000000000001,6.670728374388115e-06
1.6400000000000001,8.037946203458336e-06
1.6500000000000001,9.651877104440487e-06
1.6600000000000001,1.1549769625544234e-05
1.67,1.3773036870227632e-05
1.68,1.6367447193377768e-05
1.69,1.938326961872402e-05
1.7,2.2875361984533874e-05
1.71,2.690318905689514e-05
1.72,3.153075732208823e-05
1.73,3.6826452944124444e-05
1.74,4.286276951301934e-05
1.75,4.9715912773902605e-05
1.76,5.746527057140886e-05
1.77,6.619273781420649e-05
1.78,7.598188839540997e-05
1.79,8.691698871516007e-05
1.8,9.908185074256752e-05
1.81,0.00011255852640481655
1.82,0.0001274258494569974
1.83,0.00014375783579707762
1.84,0.00016162195834975942
1.85,0.00018107731802793366
1.86,0.00020217273774321415
1.87,0.00022494481180748002
1.8800000000000001,0.0002494159481569714
1.8900000000000001,0.00027559244543769293
1.9000000000000001,0.00030346265090749067
1.9100000000000001,0.00033299524812896984
1.92,0.00036413772535056124
1.93,0.00039681507612096886
1.94,0.00043092878290277475
1.95,0.0004663561321282926
1.96,0.0005029499052033625
1.97,0.0005405384843928184
1.98,0.0005789264053518952
1.99,0.0006178953793985381
2.0,0.0006572057986118131
2.0100000000000002,0.0006965987257112327
2.02,0.0007357983586970348
2.0300000000000002,0.0007745149477381933
2.04,0.000812448129149351
2.05,0.0008492906288949833
2.06,0.0008847322763085086
2.07,0.0009184642580257996
2.08,0.0009501835329001429
2.09,0.000979597321250687
2.1,0.0010064275765129247
2.11,0.0010304153444594562
2.12,0.001051324914820499
2.13,0.0010689476724503083
2.14,0.0010831055601625429
2.15,0.0010936540729059477
2.16,0.001100484712891651
2.17,0.0011035268473476576
