orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
1,HOMO-47,-47,-391.10942780334534,A,1
2,HOMO-46,-46,-391.10608080298425,A,2
3,HOMO-45,-45,-278.2812564988124,A,3
4,HOMO-44,-44,-278.27880747415793,A,4
5,HOMO-43,-43,-277.5248072058074,A,5
6,HOMO-42,-42,-277.52358269348025,A,6
7,HOMO-41,-41,-277.5110110335871,A,7
8,HOMO-40,-40,-277.51084776527676,A,8
9,HOMO-39,-39,-277.5103579603459,A,9
10,HOMO-38,-38,-277.5101402692655,A,10
11,HOMO-37,-37,-277.49963667463624,A,11
12,HOMO-36,-36,-277.4995822518661,A,12
13,HOMO-35,-35,-277.4808336075667,A,13
14,HOMO-34,-34,-277.48056149371615,A,14
15,HOMO-33,-33,-27.66181510673265,A,15
16,HOMO-32,-32,-23.52622880683365,A,16
17,HOMO-31,-31,-23.23207373444315,A,17
18,HOMO-30,-30,-21.4390883621136,A,18
19,HOMO-29,-29,-20.41640287777945,A,19
20,HOMO-28,-28,-20.3857900695982,A,20
21,HOMO-27,-27,-20.30320351597145,A,21
22,HOMO-26,-26,-18.3667052988882,A,22
23,HOMO-25,-25,-17.001455688159602,A,23
24,HOMO-24,-24,-16.6994093141046,A,24
25,HOMO-23,-23,-16.55886251032135,A,25
26,HOMO-22,-22,-15.52689794368515,A,26
27,HOMO-21,-21,-14.962697086058451,A,27
28,HOMO-20,-20,-13.6970683559979,A,28
29,HOMO-19,-19,-13.429607652341451,A,29
30,HOMO-18,-18,-12.87057695787425,A,30
31,HOMO-17,-17,-12.79868447857215,A,31
32,HOMO-16,-16,-12.31638988994595,A,32
33,HOMO-15,-15,-12.1604958649945,A,33
34,HOMO-14,-14,-11.779971856455301,A,34
35,HOMO-13,-13,-11.74718213747005,A,35
36,HOMO-12,-12,-10.981970778479,A,36
37,HOMO-11,-11,-10.882186629500652,A,37
38,HOMO-10,-10,-10.1962148237752,A,38
39,HOMO-9,-9,-10.13485315048745,A,39
40,HOMO-8,-8,-10.02910970818315,A,40
41,HOMO-7,-7,-9.9787414344556,A,41
42,HOMO-6,-6,-9.496229154749,A,42
43,HOMO-5,-5,-9.32466137200875,A,43
44,HOMO-4,-4,-7.427918988483551,A,44
45,HOMO-3,-3,-7.241956383051851,A,45
46,HOMO-2,-2,-7.18981936929605,A,46
47,HOMO-1,-1,-6.9266580644775,A,47
48,HOMO,0,-5.47493067206,A,48
49,LUMO,1,-2.3340837640488004,A,49
50,LUMO+1,2,-0.6833867241457,A,50
51,LUMO+2,3,-0.24400448974334998,A,51
52,LUMO+3,4,-0.1678398229884,A,52
53,LUMO+4,5,0.67938665054335,A,53
54,LUMO+5,6,1.66465648043375,A,54
55,LUMO+6,7,1.7367938622013,A,55
56,LUMO+7,8,2.6414907809586503,A,56
57,LUMO+8,9,2.6965394129148,A,57
58,LUMO+9,10,2.9914564040867,A,58
59,LUMO+10,11,3.16808550444625,A,59
60,LUMO+11,12,3.77495381383135,A,60
61,LUMO+12,13,3.8497034885636996,A,61
62,LUMO+13,14,3.9150652354538003,A,62
63,LUMO+14,15,4.04848265635395,A,63
64,LUMO+15,16,4.16434873389685,A,64
65,LUMO+16,17,4.248323068161151,A,65
66,LUMO+17,18,6.0285190895172,A,66
67,LUMO+18,19,6.4811532684389,A,67
68,LUMO+19,20,7.1657645049118495,A,68
69,LUMO+20,21,7.1750980099840005,A,69
70,LUMO+21,22,7.687461179090451,A,70
71,LUMO+22,23,7.758755007921451,A,71
72,LUMO+23,24,8.087495750710499,A,72
73,LUMO+24,25,8.2686691523734,A,73
74,LUMO+25,26,8.405923378565602,A,74
75,LUMO+26,27,8.774038995522,A,75
